700 3
118 91 81
49 169 107
48 49 37
61 88 39
128 104 153
123 175 193
11 91 111
181 75 99
73 64 117
58 136 156
33 146 175
35 57 70
35 2 49
159 170 132
62 1 170
68 154 174
132 109 189
192 158 78
92 36 94
47 73 185
2 152 125
122 29 133
136 51 97
45 77 61
122 43 174
191 35 167
28 144 159
162 133 8
28 59 138
37 44 84
44 137 109
27 30 51
195 106 120
24 149 62
114 86 18
21 151 37
171 35 65
69 56 84
164 194 161
137 57 92
6 9 160
103 50 157
57 70 193
99 52 130
15 82 56
172 145 129
191 157 53
143 15 162
82 102 192
96 179 129
111 129 187
99 62 39
62 58 88
25 39 72
124 137 32
51 151 132
193 133 141
127 125 189
37 58 45
52 80 193
74 55 178
67 61 51
162 136 84
32 91 182
162 116 59
27 44 2
180 85 12
178 124 54
51 40 176
43 124 190
168 134 89
172 178 38
194 121 82
111 71 111
20 72 112
181 127 164
43 62 193
9 125 169
13 82 7
10 92 61
166 49 36
86 33 35
141 152 153
138 107 107
31 71 172
182 4 64
84 50 22
125 157 190
173 13 94
190 31 122
68 81 141
127 37 179
38 169 139
186 185 127
85 156 75
79 45 121
47 181 17
26 151 108
32 197 88
179 187 55
181 136 102
158 138 89
128 96 199
132 129 22
147 65 126
31 128 186
5 34 10
155 157 194
87 101 59
48 153 85
153 121 190
47 125 151
25 166 123
200 133 13
19 165 22
64 84 113
66 37 129
120 82 142
126 171 6
5 42 91
109 178 182
195 200 141
196 11 168
88 31 198
79 139 93
27 91 64
118 87 51
144 97 71
117 127 142
64 92 122
53 135 14
16 193 63
114 97 76
109 35 137
46 107 107
114 21 30
52 185 87
66 154 41
186 39 47
98 127 37
172 196 88
135 196 195
23 42 100
131 142 136
117 76 129
172 40 68
146 174 128
54 83 45
103 195 9
178 176 193
124 125 199
30 60 91
152 193 75
116 109 101
98 159 96
17 45 90
87 132 162
44 137 102
151 129 31
130 10 184
175 16 71
5 103 93
106 58 23
32 89 171
106 129 88
150 167 106
159 139 14
164 1 168
22 40 107
7 70 163
2 141 62
12 117 183
49 137 48
165 1 47
80 55 17
92 107 199
7 129 57
74 161 149
165 111 40
57 126 51
67 78 54
119 183 191
172 64 161
63 55 36
105 195 89
106 50 2
117 144 158
65 2 11
174 92 181
185 199 72
105 48 110
22 196 65
179 34 65
116 141 74
157 44 115
173 153 111
67 57 50
135 159 134
45 175 157
38 70 9
197 122 157
91 109 76
134 43 144
29 91 58
93 55 73
125 52 5
83 136 27
57 35 103
49 163 120
70 80 193
30 3 40
183 83 138
152 190 1
44 178 15
40 75 81
11 96 122
9 78 46
108 151 123
90 60 82
35 15 123
160 192 195
1 197 87
69 180 129
129 21 198
8 195 53
118 17 194
31 197 144
196 88 153
124 66 194
164 55 56
180 98 163
116 169 123
153 163 40
75 49 119
51 29 74
93 110 172
84 139 89
83 99 53
102 21 24
5 120 118
117 54 4
134 105 43
58 190 119
64 108 65
160 186 6
38 154 148
54 104 41
154 113 45
167 63 190
55 146 63
102 166 46
128 71 122
79 28 102
181 130 170
65 168 101
161 79 82
35 51 46
80 53 84
38 85 137
86 22 10
40 146 24
125 181 39
111 9 124
137 72 107
33 112 170
170 41 40
23 133 169
84 113 76
176 22 48
26 35 166
105 47 196
193 160 173
35 82 188
195 28 121
14 139 91
182 119 109
60 197 162
32 132 43
104 58 182
78 129 197
119 191 88
70 36 141
174 68 20
183 71 158
155 142 193
200 139 200
13 198 61
127 125 188
90 145 187
161 172 22
57 169 46
1 189 19
140 103 101
187 116 123
136 65 196
50 143 74
184 107 13
45 83 132
165 68 93
45 17 192
94 62 114
91 151 26
193 178 108
136 109 191
1 117 91
9 146 136
176 82 112
106 67 69
136 101 144
17 11 126
54 69 79
63 163 39
48 32 61
100 164 152
39 191 81
46 37 100
117 31 38
79 2 143
131 24 127
32 22 21
185 199 129
47 98 42
78 149 88
129 28 152
52 39 179
188 13 84
38 150 193
178 138 193
119 11 88
46 12 192
55 21 93
9 185 12
179 53 111
109 184 112
100 14 112
30 142 156
26 138 21
30 109 65
135 150 102
56 30 167
167 39 165
86 186 145
3 199 6
85 161 117
101 50 166
140 76 115
23 146 188
168 197 43
150 147 39
26 52 19
140 34 110
164 181 146
98 25 160
187 133 18
126 89 177
149 23 138
159 175 14
60 117 69
73 10 69
46 189 50
191 118 10
68 86 13
38 36 131
6 22 40
35 63 116
174 20 194
64 29 154
67 8 163
127 120 184
61 156 13
109 167 15
198 127 55
180 54 164
82 78 148
200 162 28
130 138 6
20 181 194
192 27 5
172 2 192
52 200 145
66 182 122
153 181 127
188 159 141
86 63 27
81 152 173
67 22 100
29 189 178
85 75 115
103 81 12
80 160 158
108 84 137
102 198 157
64 153 63
182 26 159
35 102 47
43 187 36
160 192 51
1 118 67
157 129 114
71 142 192
144 151 10
37 58 27
116 10 15
46 11 11
28 22 94
122 83 153
186 91 167
146 185 13
69 85 154
64 178 78
137 155 158
87 162 124
186 196 117
92 126 174
101 162 160
28 183 139
122 78 176
37 184 158
108 180 173
160 175 36
98 148 187
74 89 20
166 71 182
65 60 145
149 113 124
51 93 63
33 43 145
103 106 138
195 188 15
200 156 148
146 61 42
66 86 167
87 79 131
144 8 126
195 83 41
89 74 59
148 146 37
70 128 54
30 90 3
186 24 26
195 162 127
197 113 58
190 156 151
109 191 84
57 20 114
102 161 183
116 127 105
57 138 61
188 145 141
177 166 37
139 179 29
95 8 183
45 96 59
152 118 64
67 125 40
11 165 34
83 187 124
187 81 45
191 170 81
143 117 177
156 10 97
125 90 61
85 13 109
35 193 123
158 30 90
107 5 64
4 139 72
44 102 119
25 130 69
186 89 7
60 124 33
73 52 133
123 56 29
30 187 150
28 78 22
22 131 77
175 22 112
41 169 156
95 9 13
133 2 188
101 189 167
153 189 108
40 71 132
164 13 19
142 122 39
37 45 180
98 50 184
78 146 152
57 182 67
43 157 147
74 157 61
170 9 47
136 166 67
38 26 57
49 8 176
83 79 23
163 89 1
38 144 58
54 186 10
188 185 138
145 22 143
155 52 69
63 177 46
54 141 120
81 31 94
152 61 91
25 182 98
