800 3
27 139 114
183 108 32
142 30 126
89 30 78
17 160 169
78 23 163
32 79 88
60 100 33
194 129 20
119 65 22
199 122 186
200 35 40
49 134 197
118 157 37
84 46 4
93 56 194
81 150 85
53 40 167
13 86 76
172 184 111
133 129 188
188 177 12
160 197 94
193 115 19
67 13 179
64 174 184
131 20 90
84 35 55
57 39 183
12 90 166
1 128 72
25 121 42
168 157 11
40 148 189
161 184 29
27 69 104
115 119 104
47 187 2
138 54 200
17 128 11
144 58 81
98 35 1
68 177 124
54 156 67
73 81 124
57 34 135
34 79 74
62 90 100
92 161 73
59 38 148
6 47 54
34 61 163
143 190 181
43 50 164
132 18 194
129 114 79
32 199 197
7 104 196
87 119 110
3 147 96
129 137 173
165 25 135
93 69 15
104 168 99
113 133 84
154 69 48
103 92 172
91 38 51
52 190 42
85 102 41
144 157 64
152 8 188
183 67 76
104 64 159
94 176 132
167 134 118
150 125 67
196 113 32
76 137 143
93 165 24
124 69 52
174 128 58
111 159 153
4 130 170
41 135 170
112 6 190
144 165 176
22 73 1
156 41 22
138 184 93
198 179 47
142 174 79
81 17 195
156 62 100
68 162 99
89 16 142
40 178 63
30 6 48
118 18 59
169 140 31
185 80 41
61 187 75
77 140 112
74 41 17
177 137 84
124 69 167
172 48 115
135 111 112
45 93 191
5 73 69
194 140 47
23 97 115
71 89 78
145 187 54
37 85 54
126 179 133
82 40 156
173 98 157
96 71 79
145 139 96
173 174 58
123 119 28
78 199 84
119 134 190
13 101 36
101 163 67
154 88 104
104 57 50
146 111 62
44 127 126
54 76 105
77 157 44
14 70 98
2 159 66
91 196 150
52 150 193
170 124 137
123 31 160
159 75 35
32 64 122
35 123 87
31 98 179
111 84 167
99 48 169
137 120 28
59 167 38
80 28 138
69 9 170
63 118 117
190 11 132
51 75 187
166 46 197
58 134 169
33 53 110
51 67 86
200 7 46
146 141 59
86 109 61
34 110 186
39 197 193
149 36 99
36 146 56
137 185 74
9 51 44
120 94 96
167 14 91
137 171 170
163 166 145
140 91 66
151 132 27
127 197 36
78 37 43
178 26 76
6 26 178
8 56 36
164 36 135
65 122 67
175 54 93
12 72 169
186 131 14
193 35 122
147 67 76
180 63 179
20 147 200
90 136 189
55 117 183
193 53 41
100 25 31
8 57 199
107 119 168
57 112 99
91 20 18
50 158 65
118 184 78
8 22 179
172 198 123
189 193 125
36 146 127
67 180 155
55 126 89
168 138 196
65 8 198
66 129 153
55 142 78
61 112 167
31 165 130
1 72 22
23 179 1
133 159 69
2 6 3
182 111 139
144 193 29
22 6 184
58 146 189
18 46 145
37 68 33
145 89 114
16 169 32
158 164 60
163 16 49
180 111 108
109 115 70
99 151 158
153 17 74
170 110 193
63 54 107
120 171 166
32 116 156
16 12 27
38 123 18
29 181 106
147 80 28
50 150 85
13 22 29
200 156 135
156 98 138
71 66 91
92 3 164
21 145 97
141 107 180
139 198 136
181 161 119
119 44 93
185 56 61
181 155 108
31 42 99
35 18 88
23 31 167
47 126 25
150 42 146
40 103 200
179 193 157
127 76 99
112 125 2
56 188 126
41 85 68
76 114 151
121 79 58
51 176 70
138 148 150
161 119 38
99 183 31
83 3 177
130 131 154
121 67 20
47 5 56
148 132 67
141 36 135
143 103 200
40 167 80
123 118 198
92 169 178
172 148 150
95 125 64
40 160 6
87 192 66
154 11 142
74 181 76
199 52 3
170 81 73
13 19 75
135 190 112
128 168 187
75 81 179
78 152 186
116 77 19
119 195 161
95 55 193
93 197 90
200 31 198
96 152 15
84 38 180
93 158 184
15 34 15
64 8 189
200 13 142
94 83 109
96 76 43
158 48 109
82 120 78
32 168 7
44 28 125
161 10 113
80 105 157
22 129 185
69 75 82
198 124 84
197 27 133
79 97 189
84 158 110
170 160 48
66 66 183
193 124 112
41 134 26
67 103 6
47 140 196
17 49 69
10 110 164
188 34 59
115 41 68
