500 3
25 173 185
111 150 64
23 167 37
59 167 126
146 178 181
146 55 3
83 78 52
55 169 16
106 54 31
76 164 82
23 178 19
37 44 127
65 84 130
83 81 49
127 14 182
14 26 130
173 163 127
112 28 67
111 146 7
90 65 29
7 40 179
127 31 177
29 154 94
186 155 77
108 64 98
26 77 198
30 46 23
105 63 80
171 97 116
54 133 11
25 190 171
10 197 144
121 143 90
93 96 87
131 18 108
163 47 17
51 144 81
51 33 70
5 149 80
105 194 111
44 36 19
183 94 178
135 113 192
85 129 27
171 80 143
195 63 195
154 37 38
173 23 9
34 176 100
63 135 103
33 149 135
146 92 161
196 161 122
71 74 62
71 65 62
18 89 162
140 14 196
190 43 163
4 141 93
160 31 59
57 163 57
73 44 92
4 146 183
40 200 68
71 145 5
53 186 188
170 167 178
197 2 9
78 50 38
198 159 200
154 111 152
148 188 48
7 1 30
41 106 162
162 167 42
148 98 115
25 10 105
191 21 11
127 75 189
149 116 14
197 91 168
18 121 111
73 131 158
177 61 175
