600 3
152 54 4
199 151 104
136 36 86
34 121 195
29 127 29
194 40 135
166 74 29
163 129 3
105 195 100
102 67 67
149 141 98
36 193 68
150 68 27
6 192 40
160 165 146
101 33 160
192 36 73
55 172 14
94 24 61
92 113 96
196 115 110
37 112 15
10 69 96
156 143 66
188 188 43
114 69 173
82 196 120
77 70 9
149 40 147
183 185 72
26 66 122
135 1 56
24 168 38
49 104 123
78 59 14
175 99 1
79 64 28
121 81 175
20 67 38
21 182 83
6 116 137
83 79 184
193 17 169
38 164 192
198 23 44
14 162 166
9 88 190
69 93 1
9 155 139
89 23 171
115 150 6
144 189 19
153 177 149
139 11 19
30 197 137
157 52 62
63 100 80
24 103 134
15 84 71
40 142 48
142 65 175
183 1 181
55 44 186
15 117 117
26 93 104
90 184 137
37 120 84
2 171 174
196 54 156
24 24 169
42 72 149
112 32 105
62 15 159
152 194 28
163 113 172
70 3 70
149 74 127
157 81 129
69 3 35
9 194 4
141 15 124
31 47 116
44 137 42
26 139 158
20 39 122
16 86 53
22 163 146
108 110 12
103 112 87
179 109 72
24 167 2
27 93 45
1 134 151
126 30 166
14 96 186
13 172 14
146 111 152
93 177 122
186 46 100
49 187 179
11 51 180
83 164 12
92 47 167
120 159 82
166 13 68
188 158 38
47 84 84
38 180 182
160 179 100
56 92 161
91 76 24
49 190 177
136 90 139
200 6 37
182 134 115
55 131 193
120 54 77
40 80 93
115 146 108
73 186 180
192 63 46
5 163 123
129 131 49
178 186 87
120 98 12
139 34 89
94 3 90
6 4 194
119 165 49
110 169 88
3 112 23
13 92 16
134 71 165
198 138 129
61 61 186
126 138 131
100 32 133
14 60 6
58 152 4
159 189 68
125 4 199
16 181 18
165 192 18
45 68 180
24 127 154
25 61 29
42 21 93
83 60 58
163 57 89
159 116 141
156 73 76
155 96 92
31 8 68
85 160 160
185 176 146
100 23 11
42 152 134
99 83 34
25 150 104
35 113 101
73 53 107
66 181 52
65 65 84
104 170 53
78 43 181
179 52 117
160 105 73
109 162 79
92 18 196
119 26 102
36 115 34
69 142 8
191 9 30
33 196 112
156 68 179
101 190 27
73 152 166
126 108 175
88 151 76
124 52 28
136 40 99
68 33 38
172 143 71
1 167 136
92 104 81
56 158 2
145 118 53
106 53 132
156 80 87
167 90 29
180 58 109
153 140 191
76 40 65
187 7 93
172 57 103
189 131 91
128 67 70
23 174 150
134 192 83
186 60 117
159 135 200
198 12 183
102 107 145
137 85 159
91 81 51
76 95 200
196 54 59
5 182 192
57 85 27
200 51 192
93 53 54
57 142 19
92 62 176
80 40 2
70 183 62
27 89 187
86 80 115
26 49 75
48 116 46
60 24 77
187 157 102
166 151 162
19 32 41
188 123 12
147 18 11
66 117 157
48 102 72
69 15 67
10 24 50
1 166 198
132 73 46
134 31 20
32 108 47
102 136 98
128 5 99
187 132 86
31 86 105
72 115 75
115 151 88
13 140 128
13 107 52
75 58 12
26 179 19
115 164 183
24 96 67
99 131 186
175 95 152
39 171 32
105 49 7
10 191 23
95 188 4
20 134 10
51 173 122
115 10 112
52 111 117
87 51 155
134 55 160
135 78 102
18 20 61
36 12 3
100 72 139
109 25 109
156 20 12
41 111 101
175 161 101
174 60 112
62 103 81
80 57 117
16 189 165
117 57 113
43 107 94
9 29 30
22 65 21
165 186 170
113 185 139
132 185 128
187 198 161
82 172 137
109 112 96
169 130 162
157 61 197
200 153 188
143 19 15
174 191 81
168 170 185
62 126 19
161 75 83
33 63 98
197 93 92
83 46 120
72 20 188
8 33 160
45 31 37
196 50 111
9 145 172
3 184 58
51 172 160
114 117 16
151 105 36
39 23 132
18 160 173
169 103 136
75 97 101
148 42 177
196 180 1
15 75 113
146 40 189
58 51 118
94 170 197
10 161 136
65 145 8
3 46 105
130 137 81
99 147 6
107 172 121
184 142 10
178 63 9
8 18 170
18 123 101
83 180 47
96 115 53
58 58 9
94 139 127
110 135 156
60 99 115
171 21 181
178 71 156
113 189 4
116 71 58
133 143 147
11 30 104
154 33 74
172 162 130
13 12 113
66 136 86
200 36 86
102 147 90
87 142 148
180 169 121
24 28 78
60 81 23
92 60 30
124 124 66
43 128 198
51 2 58
57 112 112
62 2 114
101 95 49
90 107 130
26 166 17
61 162 21
184 137 154
136 68 190
154 23 32
38 66 97
173 148 53
147 104 125
170 99 184
4 28 132
67 57 14
51 168 181
176 89 188
13 121 159
122 27 142
5 168 84
134 152 161
131 179 130
168 140 35
48 54 163
8 186 169
37 144 87
61 134 102
73 16 34
136 66 196
164 93 154
35 139 93
128 176 68
192 16 195
13 25 89
150 90 21
56 115 20
78 81 68
193 128 54
1 49 97
44 147 159
105 133 173
105 86 165
134 31 33
20 85 78
172 152 16
5 96 103
161 147 177
103 165 74
173 173 46
52 119 139
132 132 47
42 168 63
159 99 89
12 198 71
122 50 139
146 164 125
61 29 119
97 149 189
162 8 36
192 29 34
36 19 122
55 102 157
15 124 199
115 122 89
84 184 82
138 128 127
141 60 159
139 110 74
124 170 147
189 192 146
53 131 171
185 67 18
49 52 151
46 31 14
118 24 123
38 142 161
160 73 27
50 95 20
2 132 22
57 150 34
35 95 44
158 186 189
194 110 102
109 103 98
62 66 98
