900 3
191 32 90
178 92 196
142 106 39
83 169 102
105 177 12
130 92 128
159 190 65
63 195 149
56 169 81
27 184 123
188 7 9
130 7 196
12 180 126
72 30 147
61 116 109
108 35 73
112 36 196
192 67 88
153 141 189
87 151 46
34 108 157
9 22 46
175 174 26
23 167 50
69 2 55
61 190 18
61 159 48
27 44 190
38 158 69
93 47 107
67 174 47
43 152 189
26 157 140
156 87 80
130 110 199
72 89 179
91 84 63
128 198 87
160 79 123
168 62 93
62 133 17
29 192 143
62 197 176
198 134 69
45 30 59
30 37 68
171 110 104
187 100 40
149 68 151
106 131 147
48 149 42
49 23 160
184 40 101
4 186 190
158 19 190
30 57 175
112 105 159
91 34 169
93 31 148
50 83 24
91 7 37
71 125 77
27 71 173
68 92 141
85 170 159
193 138 129
40 193 162
181 182 157
23 20 124
179 5 160
153 70 28
165 68 107
21 134 15
196 66 73
10 127 139
68 73 116
127 77 121
82 107 7
108 147 173
167 7 102
164 159 153
27 118 10
112 84 197
93 43 18
31 33 146
164 181 74
118 133 169
175 163 140
121 31 50
166 179 164
8 151 172
60 106 195
34 183 4
199 12 84
21 49 189
136 80 160
111 50 112
119 139 75
57 29 44
26 34 70
8 192 10
98 162 83
40 6 139
48 68 103
107 14 1
16 78 76
129 127 20
144 79 155
105 157 13
137 50 32
165 28 195
119 11 67
70 82 121
14 5 190
200 81 176
82 159 41
111 9 24
5 108 172
66 147 184
157 103 50
11 164 29
149 89 20
70 155 46
67 132 115
121 108 90
148 101 148
117 10 130
83 98 6
88 21 25
57 63 94
191 21 128
121 42 71
161 25 13
35 68 53
169 182 54
62 36 152
119 123 89
43 66 23
125 87 97
105 86 96
173 43 143
167 143 87
144 50 71
38 176 99
48 74 13
70 36 72
58 168 134
119 178 55
67 155 59
173 77 19
182 170 60
97 168 116
51 13 177
77 91 90
85 177 154
113 184 103
15 77 59
123 107 48
26 160 39
66 99 66
114 134 83
192 161 104
87 98 197
106 17 34
81 103 109
56 34 136
6 41 120
104 111 29
57 125 97
45 186 70
116 56 118
170 162 6
130 117 158
16 95 74
59 193 25
37 23 195
158 11 160
4 136 79
12 128 134
26 194 172
104 33 133
63 167 180
102 101 174
16 65 185
170 103 19
33 73 100
63 109 88
104 128 54
161 30 20
84 70 113
172 169 183
79 16 107
77 41 52
25 123 2
25 178 143
114 126 121
19 20 136
167 180 33
150 175 173
49 171 174
140 94 23
145 161 162
25 41 183
170 181 65
129 189 35
122 139 88
73 152 74
43 57 81
130 82 6
55 64 155
6 134 71
94 99 115
31 162 99
4 125 101
56 61 42
25 198 17
86 5 21
155 44 84
53 96 22
197 37 59
51 51 31
116 137 40
156 13 143
86 2 115
56 20 4
131 43 173
195 131 66
67 65 110
23 85 138
198 59 79
40 84 57
7 183 98
93 194 128
182 181 74
120 128 25
94 14 179
182 118 65
177 111 5
60 47 33
75 77 80
85 199 111
87 120 52
157 193 139
164 124 115
74 74 37
1 62 59
17 112 20
178 101 135
32 165 195
139 30 108
150 185 141
185 164 187
